podstatné_jméno,antonym
přítomnost,nepřítomnost
anoda,katoda
export,import
ochota,neochota
dobro,zlo
věrnost,nevěra
loajalita,zrada
kázeň,nekázeň
síla,slabost
přírůstek,úbytek
výhoda,nevýhoda
jistota,nejistota
život,smrt
vítězství,porážka
vděk,nevděk
optimismus,pesimismus
vnitřek,vnějšek
měšťan,cizinec
věřitel,dlužník
zaměstnanec,zaměstnavatel
výtěžek,ztráta
poptávka,nabídka
přítok,odtok
minimum,maximum
přítomnost,absence
pořádek,nepořádek
shoda,spor
vina,nevina
štěstí,smůla
vlhkost,sucho
bezpečí,nebezpečí
vodič,izolátor
zrod,zánik
noc,den
začátek,závěr
láska,nenávist
vztek,klid
tma,světlo
