stát,muž,žena
Belgie,Belgičan,Belgičanka
Bělorusko,Bělorus,Běloruska
Bulharsko,Bulhar,Bulharka
Afrika,Afričan,Afričanka
Amerika,Američan,Američanka
Anglie,Angličan,Angličanka
Asie,Asiat,Asiatka
Austrálie,Australan,Australanka
Česká_Republika,Čech,Češka
Čína,Číňan,Číňanka
Dánsko,Dán,Dánka
Evropa,Evropan,Evropanka
Finsko,Fin,Finka
Francie,Francouz,Francouzka
Itálie,Ital,Italka
Japonsko,Japonec,Japonka
Lotyšsko,Lotyš,Lotyška
Kanada,Kanaďan,Kanaďanka
Maďarsko,Maďar,Maďarka
Německo,Němec,Němka
Nizozemsko,Nizozemec,Nizozemka
Norsko,Nor,Norka
Polsko,Polák,Polka
Portugalsko,Portugalec,Portugalka
Rakousko,Rakušan,Rakušanka
Rusko,Rus,Ruska
Rumunsko,Rumun,Rumunka
Řecko,Řek,Řekyně
Slovensko,Slovák,Slovenka
Španělsko,Španěl,Španělka
Švédsko,Švéd,Švédka
Švýcarsko,Švýcar,Švýcarka
Ukrajina,Ukrajinec,Ukrajinka
Velká_Británie,Brit,Britka
Vietnam,Vietnamec,Vietnamka
