sloveso,min.cas
být,byl
říci,řekl
mít,měl
uvést,uvedl
prohlásit,prohlásil
moci,mohl
stát,stal
dostat,dostal
oznámit,oznámil
začít,začal
dát,dal
sdělit,sdělil
dodat,dodal
muset,musel
chtít,chtěl
označit,označil
potvrdit,potvrdil
vyhrát,vyhrál
získat,získal
přijít,přišel
zdůraznit,zdůraznil
vyjádřit,vyjádřil
skončit,skončil
informovat,informoval
vyslovit,vyslovil
vrátit,vrátil
napsat,napsal
poznamenat,poznamenal
konstatovat,konstatoval
odpovědět,odpověděl
vidět,viděl
pracovat,pracoval
hrát,hrál
objevit,objevil
podepsat,podepsal
vyzvat,vyzval
zvítězit,zvítězil
reagovat,reagoval
jednat,jednal
zahájit,zahájil
hovořit,hovořil
upozornit,upozornil
ukázat,ukázal
navštívit,navštívil
požádat,požádal
vydat,vydal
zemřít,zemřel
vstoupit,vstoupil
vědět,věděl
snažit,snažil
nechat,nechal
vést,vedl
dávat,dával
zastřelit,zastřelil
usadit,usadil
přesvědčit,přesvědčil
zachránit,zachránil
chodit,chodil
schovat,schoval
prosadit,prosadil
ohrozit,ohrozil
pomoci,pomohl
zmizet,zmizel
vyřešit,vyřešil
zablokovat,zablokoval
vsadit,vsadil
odjet,odjel
odhalit,odhalil
sloužit,sloužil
poznat,poznal
probudit,probudil
položit,položil
projít,prošel
zeptat,zeptal
udržovat,udržoval
ohlásit,ohlásil
bydlet,bydlel
hostovat,hostoval
investovat,investoval
vydat,vydal
vynést,vynesl
hodit,hodil
přistoupit,přistoupil
zabývat,zabýval
vzrůst,vzrostl
umět,uměl
zahnat,zahnal
hrozit,hrozil
překročit,překročil
natočit,natočil
vzbudit,vzbudil
přečíst,přečetl
uvolnit,uvolnil
pozvat,pozval
proměnit,proměnil
